time	dest	src	seqn
30469860	1	6	0
34152278	1	5	0
35102214	1	4	0
37733324	1	3	0
38208313	1	10	0
38484953	1	2	0
41117968	1	9	0
44047595	1	8	0
45523577	1	7	0
64844401	1	2	1
65949484	1	5	1
70086544	1	4	1
70570744	1	8	1
70945121	1	7	1
71067689	1	10	1
73904778	1	3	1
74079236	1	6	1
75165203	1	9	1
92242414	1	7	2
92313551	1	8	2
92445919	1	4	2
95063657	1	6	2
95086717	1	9	2
96875579	1	2	2
97952074	1	3	2
101621027	1	5	2
104302064	1	10	2
124180294	1	4	3
126758244	1	8	3
126911527	1	10	3
129873528	1	3	3
131168232	1	5	3
133859954	1	2	3
134040793	1	6	3
134883952	1	9	3
135461076	1	7	3
152521676	1	3	4
153895814	1	10	4
154179914	1	7	4
154219375	1	2	4
154589866	1	5	4
160251139	1	8	4
162555467	1	9	4
163289669	1	4	4
164962338	1	6	4
182102703	1	9	5
182756051	1	3	5
182837227	1	2	5
182887073	1	5	5
184255277	1	10	5
185759545	1	6	5
193336369	1	8	5
193774044	1	4	5
194851371	1	7	5
210989564	1	10	6
213820121	1	7	6
214633419	1	4	6
215891346	1	8	6
216431088	1	6	6
217365426	1	3	6
220058527	1	5	6
222524217	1	9	6
225758681	1	2	6
242289566	1	8	7
242978384	1	6	7
243105823	1	5	7
243117414	1	7	7
243555974	1	2	7
243867794	1	4	7
248098938	1	10	7
250821452	1	9	7
254349801	1	3	7
271992967	1	9	8
272336076	1	7	8
273227431	1	2	8
274027277	1	5	8
275399838	1	6	8
278583314	1	10	8
280407301	1	8	8
281709176	1	3	8
282477169	1	4	8
303438657	1	6	9
305641204	1	2	9
307816050	1	5	9
308091442	1	10	9
309133290	1	8	9
309922771	1	4	9
310156740	1	9	9
311062019	1	7	9
312779778	1	3	9
331798138	1	6	10
333827135	1	3	10
334126205	1	8	10
334675577	1	5	10
335220216	1	4	10
335762863	1	10	10
336266313	1	9	10
336546546	1	7	10
341250731	1	2	10
360532513	1	6	11
362310341	1	10	11
365909997	1	5	11
366711521	1	8	11
366896874	1	3	11
372235106	1	2	11
372405921	1	7	11
372750642	1	9	11
374391673	1	4	11
394610017	1	9	12
396131203	1	3	12
396640296	1	7	12
396731659	1	10	12
397438878	1	4	12
399519327	1	5	12
399594481	1	2	12
399641888	1	6	12
400766586	1	8	12
422503748	1	5	13
422664646	1	8	13
423844392	1	9	13
424126263	1	6	13
429029091	1	10	13
431328856	1	2	13
432249671	1	7	13
432360423	1	4	13
435740578	1	3	13
453200364	1	10	14
453985683	1	6	14
459282772	1	8	14
461157628	1	4	14
463453767	1	9	14
463863077	1	5	14
464234046	1	7	14
464438231	1	2	14
464724953	1	3	14
482438142	1	9	15
483829261	1	4	15
483922652	1	2	15
485220013	1	6	15
485247843	1	10	15
486593421	1	7	15
486597452	1	5	15
491992817	1	8	15
495084328	1	3	15
510797517	1	9	16
511829388	1	6	16
515672748	1	8	16
515818703	1	3	16
518327796	1	7	16
518699634	1	5	16
519781981	1	2	16
523376378	1	4	16
524169113	1	10	16
542016356	1	2	17
547780921	1	7	17
549284952	1	5	17
550797923	1	4	17
550966591	1	10	17
551928078	1	3	17
552695896	1	8	17
553572195	1	6	17
555531892	1	9	17
571641267	1	9	18
571938703	1	8	18
572894372	1	5	18
574743740	1	6	18
575015296	1	7	18
581637863	1	10	18
582412453	1	3	18
582625731	1	2	18
586095128	1	4	18
601125642	1	9	19
602266673	1	4	19
603271828	1	3	19
