time	dest	src	seqn
33836469	1	5	0
35152111	1	4	0
35176846	1	2	0
35691305	1	6	0
37639375	1	3	0
38948914	1	10	0
40426021	1	7	0
44938882	1	8	0
44985016	1	9	0
61723227	1	7	1
63218993	1	5	1
66854412	1	8	1
68628892	1	10	1
69159968	1	6	1
70136487	1	4	1
73911150	1	2	1
74240315	1	3	1
74703767	1	9	1
91907631	1	8	2
92175766	1	10	2
92495863	1	4	2
94974690	1	3	2
101812744	1	5	2
101894772	1	7	2
102375643	1	9	2
104206843	1	6	2
106020525	1	2	2
122571266	1	5	3
123566553	1	4	3
124433116	1	6	3
124636460	1	10	3
126446496	1	8	3
127857792	1	3	3
128216127	1	2	3
131289416	1	9	3
134652295	1	7	3
151613339	1	4	4
154995789	1	10	4
156524344	1	7	4
157376381	1	8	4
159742720	1	5	4
159779667	1	3	4
162898790	1	9	4
162917491	1	6	4
165013002	1	2	4
182789684	1	5	5
183684966	1	2	5
186113355	1	10	5
186576542	1	3	5
186597467	1	6	5
186883165	1	9	5
187535214	1	4	5
188746045	1	7	5
191142095	1	8	5
211508345	1	5	6
212332089	1	4	6
213144431	1	6	6
213301111	1	7	6
217231753	1	2	6
218832017	1	10	6
222242541	1	9	6
224227700	1	8	6
225795292	1	3	6
243254616	1	5	7
244683363	1	4	7
245566217	1	6	7
246217167	1	3	7
246503891	1	10	7
246782631	1	8	7
248769772	1	7	7
249976916	1	9	7
254192401	1	2	7
271816648	1	7	8
273180851	1	8	8
273917738	1	4	8
274551821	1	2	8
276086291	1	9	8
277472641	1	10	8
279863422	1	6	8
281615315	1	3	8
285148970	1	5	8
301550839	1	4	9
303286196	1	2	9
303732792	1	3	9
309770121	1	10	9
311034967	1	6	9
311298433	1	8	9
312570665	1	9	9
313535397	1	7	9
313547118	1	5	9
332105317	1	10	10
332395678	1	2	10
334430193	1	9	10
334586623	1	5	10
339123570	1	3	10
339808268	1	6	10
339972867	1	4	10
340207425	1	7	10
342368432	1	8	10
363250795	1	9	11
365689034	1	8	11
365875396	1	5	11
365988508	1	10	11
366045445	1	3	11
366160550	1	7	11
368511686	1	4	11
368800834	1	6	11
372739429	1	2	11
393441459	1	6	12
394871061	1	4	12
395973803	1	2	12
396074369	1	7	12
398734771	1	5	12
399235909	1	8	12
401707169	1	10	12
402797670	1	9	12
403389527	1	3	12
422605390	1	4	13
423561070	1	3	13
425196557	1	8	13
425219545	1	9	13
425691800	1	7	13
428969146	1	5	13
431583179	1	2	13
432379044	1	10	13
434956995	1	6	13
450617694	1	9	14
452578567	1	5	14
453607945	1	3	14
454825985	1	2	14
454878870	1	6	14
457371199	1	7	14
457488492	1	4	14
461386568	1	10	14
465126534	1	8	14
484496244	1	7	15
487044405	1	2	15
487290399	1	8	15
487675745	1	6	15
491834218	1	3	15
492410367	1	4	15
492688295	1	9	15
494645274	1	10	15
495562896	1	5	15
510735170	1	9	16
511761394	1	6	16
511816544	1	10	16
511922271	1	5	16
512105574	1	7	16
517095284	1	8	16
517966280	1	2	16
521207242	1	4	16
522318594	1	3	16
541326695	1	3	17
541461444	1	9	17
543763244	1	2	17
543879117	1	4	17
546656646	1	5	17
547863419	1	10	17
548370768	1	6	17
