time	dest	src	seqn
31690744	1	7	0
33552684	1	5	0
34303736	1	4	0
35360344	1	6	0
37937171	1	2	0
41118658	1	9	0
41467669	1	10	0
43926011	1	3	0
44907032	1	8	0
64296619	1	2	1
64534541	1	7	1
64660387	1	3	1
64719720	1	6	1
65349560	1	5	1
69288112	1	4	1
71430184	1	8	1
74474311	1	10	1
75165532	1	9	1
91647488	1	4	2
92769762	1	3	2
92935208	1	5	2
93172899	1	8	2
95087408	1	9	2
97083732	1	10	2
100454050	1	6	2
103030922	1	2	2
104698848	1	7	2
121376181	1	9	3
122718178	1	4	3
122964891	1	7	3
124068062	1	10	3
124563425	1	6	3
126773842	1	8	3
127335899	1	2	3
129465453	1	3	3
131528959	1	5	3
150888333	1	5	4
152113513	1	3	4
154484093	1	2	4
159136347	1	7	4
162491238	1	4	4
162498038	1	10	4
163047800	1	6	4
163508309	1	8	4
164235555	1	9	4
182347887	1	3	5
183735300	1	6	5
185545002	1	10	5
187622708	1	5	5
188961343	1	8	5
189718422	1	2	5
190909495	1	7	5
191495361	1	9	5
192975612	1	4	5
212094720	1	6	6
213834988	1	4	6
214732083	1	5	6
216327798	1	2	6
216957308	1	3	6
220573847	1	7	6
223079305	1	9	6
224195763	1	8	6
224594419	1	10	6
240829050	1	6	7
243069363	1	4	7
246750694	1	8	7
247063680	1	9	7
247216459	1	5	7
248263664	1	10	7
251542598	1	7	7
253312173	1	2	7
253941638	1	3	7
272789467	1	8	8
272839893	1	7	8
272849312	1	10	8
273671593	1	2	8
274075879	1	5	8
275200069	1	3	8
279938425	1	6	8
281678738	1	4	8
282423056	1	9	8
301219444	1	8	9
303007863	1	2	9
307602777	1	6	9
307663112	1	4	9
308443310	1	5	9
309201768	1	10	9
310157431	1	9	9
312371614	1	3	9
315456371	1	7	9
331149804	1	6	10
331904111	1	5	10
332679891	1	2	10
333373280	1	10	10
334421786	1	4	10
336267004	1	9	10
337144915	1	3	10
341266561	1	8	10
344815898	1	7	10
363571768	1	6	11
364550319	1	7	11
366488665	1	3	11
368759435	1	9	11
372226677	1	2	11
372646339	1	10	11
373263486	1	5	11
373593242	1	4	11
375188525	1	8	11
390648552	1	2	12
391130715	1	10	12
393144069	1	7	12
393431310	1	9	12
395723040	1	3	12
395997861	1	5	12
396640117	1	4	12
402336587	1	8	12
403868884	1	6	12
423945757	1	2	13
424302927	1	5	13
425040429	1	6	13
428003398	1	7	13
429204061	1	8	13
429990089	1	10	13
431561992	1	4	13
432978185	1	9	13
435332415	1	3	13
454237819	1	7	14
455164620	1	8	14
455454710	1	9	14
458450986	1	5	14
459224464	1	10	14
460117302	1	2	14
460358867	1	4	14
463313578	1	6	14
464316790	1	3	14
482438833	1	9	15
482797998	1	6	15
483030742	1	4	15
486164177	1	2	15
488685361	1	5	15
490818215	1	10	15
491831523	1	7	15
492923143	1	8	15
493075353	1	3	15
512177589	1	10	16
512294782	1	5	16
513293642	1	3	16
517258370	1	8	16
519234200	1	2	16
521657327	1	6	16
522577617	1	4	16
524190898	1	7	16
525532584	1	9	16
540915685	1	9	17
541468575	1	2	17
541891703	1	6	17
543911964	1	10	17
548037545	1	5	17
549999492	1	4	17
550141561	1	8	17
551519915	1	3	17
555980250	1	7	17
571837560	1	9	18
572593749	1	10	18
572863665	1	3	18
573062325	1	2	18
573198317	1	7	18
578501077	1	6	18
582852120	1	8	18
584209088	1	5	18
585296697	1	4	18
601126333	1	9	19
601446679	1	6	19
605231142	1	3	19
606372861	1	5	19
607860399	1	8	19
608992302	1	2	19
610013816	1	10	19
610199000	1	7	19
610397712	1	4	19
631945870	1	8	20
632132015	1	4	20
640685691	1	10	20
642653017	1	3	20
643482236	1	5	20
644743886	1	6	20
644961052	1	2	20
644985708	1	9	20
645745875	1	7	20
667691791	1	3	21
670222148	1	7	21
670844828	1	6	21
671757927	1	2	21
672966612	1	5	21
674079061	1	8	21
674515117	1	4	21
674599464	1	10	21
675306310	1	9	21
690436750	1	4	22
691206524	1	7	22
692825986	1	5	22
694539620	1	8	22
697429802	1	2	22
699051211	1	3	22
701853185	1	9	22
703962304	1	6	22
704193214	1	10	22
722695846	1	2	23
724565944	1	7	23
725884179	1	6	23
725969774	1	8	23
727858029	1	3	23
728286964	1	10	23
733060361	1	5	23
735233867	1	4	23
735275060	1	9	23
750681054	1	6	24
756905831	1	4	24
757669736	1	5	24
757683375	1	7	24
760742791	1	8	24
761396340	1	10	24
762572296	1	9	24
763379291	1	3	24
764867302	1	2	24
781266703	1	6	25
782238665	1	3	25
782743810	1	9	25
784402125	1	7	25
786735222	1	8	25
786836052	1	2	25
788654112	1	5	25
790452617	1	4	25
792880714	1	10	25
812428891	1	4	26
813633016	1	2	26
817907583	1	9	26
819876077	1	6	26
819987773	1	7	26
821013486	1	5	26
821559267	1	3	26
825086495	1	8	26
825560691	1	10	26
