time	dest	src	seqn	hops
32035170	1	10	0	2
33411683	1	5	0	1
33785756	1	2	0	1
35098849	1	4	0	2
36568182	1	7	0	1
41473699	1	9	0	3
44129567	1	6	0	1
44381158	1	3	0	3
44599801	1	8	0	4
60942013	1	7	1	1
62818157	1	2	1	1
64473501	1	6	1	1
65130546	1	3	1	3
65223360	1	5	1	1
68723209	1	10	1	2
70068629	1	4	1	2
71099340	1	8	1	4
75537360	1	9	1	3
92253669	1	10	2	2
92441946	1	4	2	2
92880493	1	8	2	4
93222566	1	3	2	3
95442395	1	9	2	3
95661910	1	7	2	1
97754344	1	2	2	1
100193299	1	6	2	1
100880564	1	5	2	1
121755064	1	9	3	3
123505481	1	4	3	2
123785028	1	7	3	1
124317154	1	6	3	1
124723873	1	3	3	3
127003859	1	8	3	4
130441932	1	5	3	1
134537095	1	2	3	1
134974911	1	10	3	2
151536315	1	4	4	2
152566228	1	3	4	3
153223185	1	2	4	1
153254908	1	7	4	1
153849365	1	5	4	1
157285074	1	8	4	4
162787012	1	6	4	1
163160601	1	10	4	2
164631107	1	9	4	3
182160798	1	5	5	1
182817539	1	3	5	3
186191210	1	10	5	2
186755782	1	2	5	1
187474435	1	4	5	2
190818014	1	8	5	4
191848546	1	9	5	3
193942978	1	7	5	1
194660838	1	6	5	1
212472600	1	9	6	3
212911729	1	7	6	1
218631119	1	8	6	4
218910521	1	10	6	2
219318062	1	5	6	1
219880848	1	6	6	1
222191998	1	2	6	1
223756128	1	4	6	2
225941254	1	3	6	3
242192295	1	7	7	1
242379608	1	5	7	1
244630087	1	4	7	2
246348363	1	3	7	3
247003754	1	8	7	4
249411751	1	10	7	2
249504589	1	6	7	1
252879942	1	9	7	3
255474575	1	2	7	1
272442377	1	8	8	4
273286639	1	5	8	1
273474515	1	6	8	1
273660807	1	2	8	1
273847431	1	4	8	2
275660556	1	3	8	3
278380478	1	7	8	1
281193524	1	9	8	3
286254283	1	10	8	2
301098333	1	5	9	1
301411144	1	7	9	1
301848404	1	6	9	1
302348845	1	9	9	3
302693670	1	2	9	1
303505480	1	10	9	2
310943658	1	8	9	4
312473475	1	4	9	2
312817398	1	3	9	3
330568776	1	6	10	1
331160758	1	8	10	4
332755524	1	5	10	1
333879000	1	3	10	3
336349465	1	7	10	1
337410709	1	9	10	3
338443880	1	4	10	2
345629598	1	2	10	1
346098361	1	10	10	2
363099462	1	10	11	2
363410225	1	2	11	1
364317538	1	9	11	3
364847837	1	4	11	2
365349517	1	8	11	4
368317266	1	5	11	1
368786312	1	3	11	3
369692274	1	6	11	1
373130050	1	7	11	1
392535322	1	4	12	2
393098455	1	2	12	1
394162510	1	6	12	1
395099103	1	3	12	3
397223782	1	8	12	4
399849885	1	7	12	1
399880635	1	10	12	2
403129701	1	9	12	3
404724479	1	5	12	1
424035721	1	10	13	2
424253910	1	6	13	1
425068308	1	9	13	3
427003861	1	3	13	3
427411515	1	4	13	2
431285758	1	8	13	4
431380650	1	7	13	1
432630998	1	2	13	1
435035980	1	5	13	1
451067043	1	2	14	1
453191362	1	8	14	4
453318416	1	6	14	1
454223843	1	9	14	3
455692100	1	7	14	1
456066962	1	10	14	2
456193062	1	3	14	3
458193137	1	5	14	1
462349655	1	4	14	2
484349623	1	2	15	1
487412387	1	7	15	1
