time	dest	src	seqn
30448905	1	6	0
31330296	1	5	0
31335800	1	7	0
35017000	1	4	0
38037022	1	10	0
41163980	1	9	0
43301270	1	3	0
43881088	1	2	0
44342191	1	8	0
64465044	1	3	1
65189673	1	5	1
66255964	1	8	1
66827753	1	9	1
68962604	1	4	1
70896398	1	10	1
74058281	1	6	1
74554221	1	7	1
75990464	1	2	1
92574419	1	3	2
93424047	1	5	2
95068574	1	6	2
96259899	1	4	2
98476097	1	7	2
100865430	1	8	2
104130772	1	10	2
105210854	1	9	2
105474839	1	2	2
121377172	1	5	3
122608145	1	8	3
123273060	1	7	3
123431354	1	4	3
124058795	1	3	3
124402077	1	6	3
125132730	1	9	3
125334215	1	2	3
126740193	1	10	3
151478228	1	4	4
151507435	1	7	4
151918170	1	3	4
153849522	1	10	4
158111547	1	5	4
160568589	1	2	4
162943509	1	8	4
164589531	1	6	4
164929604	1	9	4
182152544	1	3	5
182197067	1	4	5
182211008	1	7	5
184083943	1	10	5
185220922	1	5	5
186748441	1	8	5
187177965	1	2	5
189823907	1	6	5
192601480	1	9	5
210818272	1	10	6
212148354	1	9	6
213782672	1	4	6
216761965	1	3	6
217705298	1	5	6
219676088	1	6	6
220155494	1	7	6
223631009	1	8	6
224162340	1	2	6
244521714	1	2	7
244564673	1	5	7
245639869	1	7	7
246185940	1	8	7
248412023	1	10	7
250847633	1	6	7
252392002	1	4	7
252570229	1	9	7
253746295	1	3	7
272584160	1	8	8
273256135	1	2	8
274894508	1	6	8
275733619	1	7	8
278376376	1	4	8
280867465	1	9	8
281105669	1	3	8
285271397	1	10	8
285354024	1	5	8
302038979	1	9	9
302365510	1	2	9
302505773	1	10	9
303964531	1	6	9
304840044	1	3	9
305134897	1	4	9
310701654	1	8	9
313327370	1	7	9
313752172	1	5	9
330912366	1	8	10
335199059	1	6	10
336486700	1	5	10
336949618	1	3	10
337093576	1	9	10
337784351	1	7	10
342849992	1	2	10
344306506	1	4	10
345115300	1	10	10
361811557	1	6	11
362099675	1	10	11
364007882	1	9	11
365092343	1	8	11
366023124	1	7	11
367353381	1	4	11
368613924	1	3	11
369596075	1	5	11
372709368	1	2	11
395527743	1	3	12
395943742	1	2	12
396080450	1	5	12
397006116	1	8	12
398858382	1	10	12
401694999	1	7	12
402275256	1	4	12
402796655	1	9	12
403551241	1	6	12
423029741	1	10	13
423241874	1	7	13
424656030	1	9	13
424722786	1	6	13
427014344	1	2	13
429807302	1	5	13
431061182	1	8	13
431072131	1	4	13
434121447	1	3	13
453663749	1	7	14
457936219	1	2	14
460712756	1	4	14
461229177	1	5	14
462302800	1	10	14
462358389	1	8	14
462879881	1	3	14
463499780	1	9	14
464769661	1	6	14
480787176	1	10	15
482484155	1	9	15
483051424	1	3	15
483733183	1	2	15
484691536	1	6	15
486693616	1	8	15
488526384	1	5	15
489960954	1	7	15
496009961	1	4	15
515215197	1	3	16
516132499	1	7	16
516742618	1	9	16
516861700	1	5	16
517488411	1	6	16
519404969	1	2	16
519576807	1	8	16
519646550	1	10	16
521110976	1	4	16
542845279	1	4	17
543314825	1	5	17
546498770	1	8	17
546951844	1	2	17
547693883	1	10	17
548183434	1	6	17
551324572	1	3	17
552914132	1	9	17
554101249	1	7	17
570961007	1	9	18
573146742	1	8	18
575373719	1	2	18
579167809	1	6	18
579898124	1	7	18
580474676	1	10	18
581902697	1	3	18
583954654	1	4	18
585682302	1	5	18
601834050	1	10	19
601882882	1	9	19
607104177	1	5	19
607512072	1	3	19
607670926	1	2	19
610527185	1	6	19
613514218	1	8	19
614116874	1	7	19
615947131	1	4	19
632261605	1	6	20
633568425	1	10	20
637619006	1	4	20
639842469	1	2	20
642457674	1	3	20
642990537	1	8	20
643401382	1	5	20
644835956	1	7	20
645031030	1	9	20
660363411	1	6	21
662233298	1	8	21
662754879	1	3	21
669007499	1	7	21
671165881	1	4	21
672572927	1	5	21
672677800	1	10	21
672889344	1	2	21
674265406	1	9	21
691035286	1	6	22
692162176	1	10	22
692926513	1	3	22
696884963	1	4	22
698054374	1	7	22
702874780	1	9	22
704068662	1	8	22
705619802	1	5	22
705811219	1	2	22
721541766	1	5	23
723582250	1	6	23
727859155	1	9	23
728976249	1	7	23
729021550	1	10	23
731699572	1	3	23
732608094	1	2	23
734056506	1	4	23
734373593	1	8	23
754662366	1	8	24
756895263	1	3	24
758279969	1	2	24
759773124	1	7	24
760338552	1	5	24
762103381	1	4	24
762617618	1	9	24
764004036	1	6	24
764255925	1	10	24
783826844	1	2	25
785924200	1	5	25
786025345	1	4	25
788301241	1	6	25
789585954	1	7	25
789865300	1	10	25
793765405	1	9	25
794521787	1	8	25
794692049	1	3	25
816389218	1	8	26
817248719	1	2	26
819887072	1	3	26
822533575	1	5	26
823849675	1	10	26
824519661	1	6	26
824554757	1	9	26
824822131	1	4	26
824991874	1	7	26
841711043	1	7	27
842629879	1	3	27
843226632	1	9	27
843546013	1	2	27
847441536	1	6	27
851349866	1	8	27
852040881	1	4	27
852517950	1	5	27
855209051	1	10	27
872709241	1	8	28
873882499	1	7	28
876238411	1	6	28
877801424	1	3	28
877965879	1	10	28
879877326	1	5	28
882462756	1	4	28
883773507	1	9	28
885717469	1	2	28
903279843	1	8	29
904851249	1	7	29
907759961	1	4	29
907764344	1	2	29
908910286	1	6	29
909249780	1	9	29
909965197	1	3	29
912826527	1	10	29
913611700	1	5	29
933648125	1	7	30
936234202	1	9	30
936326719	1	8	30
937686220	1	2	30
939860905	1	4	30
940457162	1	6	30
940748403	1	10	30
942074574	1	3	30
944721077	1	5	30
962834414	1	2	31
964037368	1	8	31
966418369	1	3	31
967595280	1	4	31
968601722	1	9	31
